Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
"C1","100nf","C_0402_1005Metric",155.170000,-104.390000,90.000000,top
"C2","100nf","C_0402_1005Metric",171.290000,-102.550000,0.000000,top
"C3","100nf","C_0402_1005Metric",171.560000,-107.270000,0.000000,top
"C4","22pf","C_0402_1005Metric",164.040000,-99.950000,0.000000,top
"C5","22pf","C_0402_1005Metric",166.140000,-100.050000,0.000000,top
"C6","100nf","C_0402_1005Metric",165.870000,-115.600000,0.000000,top
"C7","1uf","C_0402_1005Metric",173.750000,-108.040000,0.000000,top
"D0","D","D_SOD-123",108.070000,-57.750000,270.000000,top
"D10","D","D_SOD-123",88.950000,-77.230000,270.000000,top
"D11","D","D_SOD-123",95.710000,-73.670000,0.000000,top
"D12","D","D_SOD-123",126.840000,-48.040000,90.000000,top
"D13","D","D_SOD-123",145.710000,-44.890000,90.000000,top
"D14","D","D_SOD-123",145.960000,-53.700000,270.000000,top
"D15","D","D_SOD-123",165.170000,-51.370000,270.000000,top
"D20","D","D_SOD-123",76.060000,-93.020000,180.000000,top
"D21","D","D_SOD-123",93.300000,-92.940000,0.000000,top
"D22","D","D_SOD-123",108.260000,-65.450000,270.000000,top
"D23","D","D_SOD-123",134.470000,-54.760000,180.000000,top
"D24","D","D_SOD-123",152.660000,-64.830000,0.000000,top
"D25","D","D_SOD-123",169.100000,-64.860000,0.000000,top
"D30","D","D_SOD-123",77.390000,-112.010000,180.000000,top
"D31","D","D_SOD-123",89.050000,-121.650000,90.000000,top
"D32","D","D_SOD-123",115.160000,-82.340000,180.000000,top
"D33","D","D_SOD-123",126.930000,-82.430000,90.000000,top
"D34","D","D_SOD-123",146.510000,-86.220000,270.000000,top
"D35","D","D_SOD-123",165.610000,-87.590000,270.000000,top
"D40","D","D_SOD-123",164.470000,-121.260000,315.000000,top
"D41","D","D_SOD-123",183.460000,-130.210000,79.000000,top
"J3","USB_B_Mini","USB_Micro-B_Molex-105017-0001",117.840000,-43.010000,180.000000,top
"R1","22","R_0402_1005Metric",172.190000,-109.310000,0.000000,top
"R2","22","R_0402_1005Metric",172.210000,-110.490000,0.000000,top
"R3","10k","R_0402_1005Metric",169.020000,-99.820000,270.000000,top
"U1","ATmega32U4-AU","TQFP-44_10x10mm_P0.8mm",162.920000,-108.070000,180.000000,top
"Y1","Crystal_GND24_Small","Crystal_SMD_3225-4Pin_3.2x2.5mm",164.950000,-97.640000,180.000000,top
