Comment,Designator,Footprint,LCSC
"22pf","C4,C5","Capacitor_SMD:C_0402_1005Metric","C1555"
"100nf","C1,C2,C3,C6","Capacitor_SMD:C_0402_1005Metric","C1525"
"1uf","C7","Capacitor_SMD:C_0402_1005Metric","C52923"
"D","D0,D10,D11,D12,D13,D14,D15,D20,D21,D22,D23,D24,D25,D30,D31,D32,D33,D34,D35,D40,D41","Diode_SMD:D_SOD-123","C81598"
"MountingHole_Pad","H1,H2,H3,H4","MountingHole:MountingHole_2.2mm_M2_Pad",""
"50-00174","J1","misc:54-00174",""
"Conn_01x02","J2","Connector_PinHeader_1.27mm:PinHeader_1x02_P1.27mm_Vertical",""
"USB_B_Mini","J3","Connector_USB:USB_Micro-B_Molex-105017-0001",""
"Conn_02x05_Odd_Even","J5","Connector:Tag-Connect_TC2050-IDC-NL_2x05_P1.27mm_Vertical",""
"KEYSW","K0,K10,K11,K12,K13,K14,K15,K20,K21,K22,K23,K24,K25,K30,K31,K32,K33,K34,K35,K40,K41","keyswitches:SW_PG1350_reversible",""
"22","R1,R2","Resistor_SMD:R_0402_1005Metric","C25092"
"10k","R3","Resistor_SMD:R_0402_1005Metric","C25744"
"ATmega32U4-AU","U1","Package_QFP:TQFP-44_10x10mm_P0.8mm",""
"Crystal_GND24_Small","Y1","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","C13738"
